Date,Site,Sample,TOC,UV254,Temperature,pH,Turbidity,Br,EC,BOD,COD,DO,SS,NH3-N,Biopolymer,HS,BB,LMWN,THMFP,HAAFP
17-May,M1,안동호,2.4,0.040266213,11,7.1,0.356,0.0126306,214,1.5,3.9,9.5,1.6,0.09,231.334,841.755,547.048,251.464,0.057,0.058
17-May,M2,임하호,3.4,0.096795284,14,7.2,1.556,0.0118353,196,1.4,4.9,9.3,1,0.005,146.722,1649.28,853.371,321.339,0.1,0.154
17-May,M3,예천,2,0.048397642,25,7.55,0.6652,0.0151245,231,1.5,3.4,9.3,6.8,0.005,98.838,872.904,515.621,217.248,0.049,0.065
17-May,M4,상주,2.2,0.047772147,25,8.1,1.003,0.018984,250,1.2,3.4,9.9,2,0.01,143.282,862.674,564.249,264.575,0.051,0.076
17-May,M5,낙단보,2.2,0.054887148,25,7.88,0.785,0.0235468,320,1.3,3.7,7.4,3.4,0.04,133.194,913.082,593.398,267.411,0.07,0.07
17-May,M6,해평,2.3,0.055903577,21,8.2,3.225,0.0228568,425,1.5,3.4,10.3,8.2,0.005,129.986,891.187,587.401,263.04,0.06,0.082
17-May,M7,구미,2.5,0.060360226,23,7.22,2.325,0.0443136,313,1.4,3.7,10.2,1.2,0.03,221.757,967.91,650.256,312.971,0.067,0.077
17-May,M8,왜관,2.5,0.06075116,22.8,6.96,2.412,0.0615759,402,2,3.6,8.7,2.2,0.08,194.979,924.169,656.95,358.624,0.065,0.058
17-May,M9,고령원수,2.3,0.047772147,20,8,1.32,0.0435747,366,2,3.4,11.2,1.8,0.005,154.626,951.686,449.698,273.082,0.065,0.074
17-May,M10,달성,2.4,0.050508686,23.1,7.22,1.625,0.0429618,329,1.6,3.5,9.6,1.4,0.01,193.491,877.277,540.632,262.947,0.065,0.046
17-May,M11,고령,3.3,0.083190777,24,6.89,10.338,0.0826217,536,1.2,5.6,10.3,1.8,0.16,332.032,1165.286,936.309,451.464,0.083,0.069
17-May,M12,용산,2.4,0.055747203,24.7,8.46,4.685,0.0536476,366,1.8,3.5,11.3,2.4,0.06,276.197,921.587,688.331,336.495,0.055,0.072
17-May,M13,남지,2.4,0.050039565,24.5,8.38,6.338,0.0622027,366,1,1.9,10.7,1.8,0.11,325.616,894.109,713.761,414.458,0.069,0.064
17-May,M14,반송원수,2.2,0.056685445,27.4,7.4,3.201,0.0640955,418,0.7,2.7,8.3,3.4,0.005,143.003,819.436,583.868,670.804,0.067,0.075
17-May,M15,삼량진,2.1,0.050274126,23.4,7.4,5.639,0.0534902,309,1.2,4.2,8.7,1,0.12,164.11,728.099,539.052,1198.559,0.068,0.083
17-May,M16,물금,2.4,0.056138137,24.2,7.22,5.352,0.0628922,410,2,3.8,8.9,2,0.005,258.205,888.597,624.872,697.675,0.065,0.087
17-May,M17,구포,2.6,0.051134181,23.7,8.21,2.895,0.0729189,407,1.4,3.1,10.2,6.8,0.05,190.051,864.16,664.575,911.855,0.08,0.097
17-May,M18,하구둑,2.7,0.056607258,19.3,8.9,2.721,0.2787467,512,1.3,4.7,8.8,2.2,0.13,302.185,959.759,770.06,303.952,0.101,0.069
17-May,T1,위천6,3.8,0.084519953,24.7,8.67,1.0398,0.0289825,248,1.3,5.1,11.5,4.4,0.16,252.766,1314.49,830.404,344.956,0.093,0.111
17-May,T2,감천2-1,2,0.047381213,26.5,8.83,3.569,0.0349022,255,1.3,2.5,10.5,6,0.01,82.38,683.249,500.883,248.35,0.048,0.076
17-May,T3,금호강6,4.2,0.12861732,25.1,7.96,9.662,0.1237012,925,1.9,6.8,13.4,5,0.13,300.883,1543.554,1202.975,631.055,0.081,0.147
17-May,T4,회천2-1,3,0.08631825,23.4,8.64,8.692,0.0766224,450,1.3,4.5,11.8,1.4,0.07,329.754,1165.904,928.963,494.142,0.085,0.07
17-May,T5,황강5,1.3,0.033385772,19.8,6.78,3.226,0.0130287,135,1.4,2.9,9.2,9.8,0.005,99.628,535.259,388.842,122.315,0.035,0.051
17-May,T6,밀양강3,1.6,0.034480388,24.7,7.72,0.998,0.0202332,212,2.5,4.5,10.3,5.4,0.07,163.877,575.271,386.378,666.388,0.054,0.075
17-Jun,M1,안동호,2.5,0.040109839,11,7.5,0.23,0.015,295,0.7,4.3,9.1,0.4,0.02,322.315,851.203,600.651,371.548,0.056,0.072
17-Jun,M2,임하호,3.4,0.086865558,14,7.3,1.21,0.015,184,0.4,5.3,8.7,0.6,0.01,321.525,1703.112,937.285,505.393,0.111,0.129
17-Jun,M3,예천,2.3,0.058874676,21.1,7.29,0.74,0.01,261,0.6,4.6,9,0.6,0.06,237.657,1146.657,566.388,238.633,0.086,0.094
17-Jun,M4,상주,2.5,0.056450885,23.9,8.59,1.09,0.014,321,1,4.7,10.1,1.6,0.08,181.543,1082.797,648.489,609.53,0.085,0.11
17-Jun,M5,낙단보,2.9,0.068882589,24.4,8.73,0.53,0.024,343,0.7,5.2,9.3,2.2,0.005,266.899,1210.799,799.442,546.165,0.083,0.116
17-Jun,M6,해평,3,0.058014621,24,7.7,4.5,0.021,277,1.4,5.3,9.1,0.8,0.005,211.948,1066.825,814.505,446.211,0.093,0.118
17-Jun,M7,구미,3.2,0.072088249,25.1,8.72,2.32,0.043,543,1.4,5.4,9.8,0.6,0.03,283.682,1121.797,860.344,411.762,0.095,0.127
17-Jun,M8,왜관,3.2,0.073651985,25.8,8.77,2.88,0.085,441,1.3,5.6,9.1,1.2,0.02,279.73,1145.592,857.369,507.299,0.092,0.111
17-Jun,M9,고령원수,2.8,0.061923962,23,7.9,4.03,0.077,378,0.8,4.7,9.5,1,0.005,150.116,1034.379,712.878,1072.757,0.044,0.089
17-Jun,M10,달성,3.7,0.073886546,26.6,9.3,1.78,0.105,578,3.6,7.8,11.6,5.2,0.24,733.891,1294.929,732.589,412.18,0.195,0.111
17-Jun,M11,고령,3.9,0.074042919,26.4,9.27,11,0.093,575,1.5,6.7,11.7,3.2,0.15,465.783,1130.736,1026.267,1208.601,0.078,0.144
17-Jun,M12,용산,3.2,0.078499568,27.5,9.37,5.32,0.072,481,2.2,6.6,12.5,2.8,0.19,369.456,1058.786,898.652,605.997,0.151,0.131
17-Jun,M13,남지,3.3,0.071306381,28.8,9.51,5.69,0.08,395,1.5,3.6,12.3,4.4,0.28,391.306,1010.022,785.542,461.134,0.133,0.129
17-Jun,M14,반송원수,2.9,0.062158523,24.2,8.3,6.34,0.092,414,1.1,3.9,8.2,20.2,0.03,119.247,943.122,649.14,304.51,0.131,0.157
17-Jun,M15,삼량진,3.1,0.066224237,25.8,9.06,7.64,0.08,406,0.9,3.9,10.4,2.4,0.07,314.412,939.279,804.649,947.234,0.093,0.112
17-Jun,M16,물금,3.2,0.064816874,25.4,9.11,8.22,0.078,491,1.9,4.2,9.4,4.2,0.1,318.689,933.075,762.901,524.221,0.11,0.143
17-Jun,M17,구포,3.4,0.059812918,24.9,9.26,3.57,0.072,382,3.2,5.5,10.1,10.2,0.14,324.314,1060.447,548.722,714.458,0.123,0.162
17-Jun,M18,하구둑,3,0.063800446,23,8.7,2.13,0.15,541,1.5,5.7,7,3.2,0.05,213.622,871.031,699.768,672.571,0.135,0.085
17-Jun,T1,위천6,5,0.123535177,24.9,8.44,0.92,0.035,333,0.8,7.7,9.5,0.8,0.005,359.879,2139.826,1396.513,964.482,0.145,0.21
17-Jun,T2,감천2-1,2.6,0.066380611,26.7,8.65,4.56,0.049,514,0.8,4.7,10.2,1,0.005,108.973,943.431,734.635,438.68,0.087,0.11
17-Jun,T3,금호강6,5.8,0.141049025,27.1,9.36,10.7,0,1194,2.4,11.3,13.7,15,0.33,492.422,1863.214,1233.659,1058.81,0.146,0.19
17-Jun,T4,회천2-1,3.9,0.089367536,27.5,9.36,7.62,0.088,606,2,7,13.1,3,0.18,464.668,1180.616,1024.872,548.164,0.076,0.148
17-Jun,T5,황강5,1.8,0.043550059,24.7,7.88,2.52,0.021,212,0.6,3.6,9.1,0.4,0.02,176.894,651.67,465.365,243.561,0.059,0.089
17-Jun,T6,밀양강3,3.2,0.069664457,26.8,9.6,0.74,0.166,280,1.4,5.2,11.7,8.2,0.09,485.309,900.028,847.001,926.499,0.13,0.155
17-Jul,M1,안동호,2.4,0.085770942,14,7.3,0.28,0.018,250,0.4,4,7.3,0.2,0.04,283.45,1631.904,868.48,695.955,0.056,0.058
17-Jul,M2,임하호,3.4,0.086396437,19.7,7.4,0.32,0.018,240,0.3,5.3,7.4,1.6,0.02,362.762,1617.576,869.177,322.687,0.088,0.142
17-Jul,M3,예천,4.6,0.040109839,25,7.6,0.34,0.017,218,0.8,4.8,7.7,24,0.01,385.774,900.543,594.189,940.307,0.147,0.301
17-Jul,M4,상주,3.6,0.17068183,22.9,7.4,0.56,0.014,153,0.4,4.7,7.9,7.6,0.005,211.715,3252.095,558.205,403.673,0.126,0.219
17-Jul,M5,낙단보,3.1,0.215170131,25.7,7.5,1,0.02,197,0.9,5.4,8.2,17,0.03,285.914,3422.116,759.135,615.667,0.117,0.193
17-Jul,M6,해평,3.7,0.102737482,26,7,0.87,0.015,157,0.8,5,8.6,8.4,0.02,126.964,1449.362,734.868,413.389,0.124,0.218
17-Jul,M7,구미,3.2,0.13549776,27.4,7.7,1.62,0.022,185,1,5.4,8.6,5,0.01,152.348,2371.1,488.145,1234.589,0.102,0.171
17-Jul,M8,왜관,3.4,0.114778253,27.4,7.7,0.1,0.021,184,0.8,5.5,8.4,6.6,0.005,146.397,1611.891,767.643,1090.656,0.113,0.193
17-Jul,M9,고령원수,3.5,0.12322243,26,7.3,0.99,0.024,191,0.6,4.8,8.9,4.8,0.005,116.922,1795.643,754.44,905.253,0.118,0.2
17-Jul,M10,달성,3.6,0.125568034,28.1,7.5,0.22,0.03,235,0.8,5.6,8.6,9,0.005,152.999,1821.312,823.106,753.603,0.111,0.21
17-Jul,M11,고령,3.4,0.143160069,28.1,7.4,0.82,0.029,195,0.8,6.5,7.9,9.2,0.02,376.523,1797.163,1311.994,947.28,0.115,0.188
17-Jul,M12,용산,3.1,0.0403444,29.6,8,0.99,0.039,284,1.7,5.4,8.7,4.8,0.01,89.679,697.454,293.584,770.2,0.11,0.148
17-Jul,M13,남지,3.2,0.083816272,29.7,8.3,0.99,0.039,260,1.7,4,9.3,6.6,0.02,612.599,1240.065,653.789,1196.188,0.116,0.154
17-Jul,M14,반송원수,3.4,0.108523307,30.3,7.3,16.3,0.043,332,0.9,3.8,8.7,1.8,0.005,258.066,1525.85,891.399,369.41,0.122,0.174
17-Jul,M15,삼량진,3.4,0.101877427,29.3,8.6,0.09,0.038,236,2.2,6.2,8.9,7.4,0.03,292.19,1502.93,888.099,431.148,0.127,0.183
17-Jul,M16,물금,3.7,0.112432648,29.7,8.1,2,0.033,256,2.1,4.1,8.3,6.6,0.03,311.948,1619.515,968.433,452.208,0.128,0.198
17-Jul,M17,구포,3.6,0.109148802,27.1,8.6,2,0.033,292,2.9,5.6,8.5,7,0.07,440.725,1649.926,981.915,649.419,0.133,0.192
17-Jul,M18,하구둑,3.5,0.086240063,27,7.2,0.45,0.11,399,2,5.8,6.7,4,0.02,388.47,1391.119,922.222,516.736,0.134,0.147
